Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
PID_LYMPH_ANGIOGENESIS_PATHWAY,1,1,1,0,0,0
PID_MET_PATHWAY,0,0,0,1,1,1
PID_MTOR_4PATHWAY,0,0,0,1,1,1
PID_MYC_ACTIV_PATHWAY,0,0,0,1,1,1
PID_MYC_REPRESS_PATHWAY,0,1,0,0,0,0
PID_P75_NTR_PATHWAY,0,0,0,0,1,1
PID_PDGFRB_PATHWAY,0,0,0,0,0,1
PID_PI3KCI_AKT_PATHWAY,0,0,0,0,0,1
PID_PS1_PATHWAY,0,0,0,0,1,1
PID_RAC1_PATHWAY,0,0,0,0,1,1
PID_RANBP2_PATHWAY,0,0,0,0,1,1
PID_RB_1PATHWAY,0,0,0,0,1,0
PID_REG_GR_PATHWAY,0,0,0,0,1,0
PID_RHOA_PATHWAY,1,0,0,0,0,1
PID_SYNDECAN_1_PATHWAY,1,1,0,0,0,0
PID_SYNDECAN_2_PATHWAY,1,1,0,0,0,0
PID_SYNDECAN_4_PATHWAY,1,1,1,0,0,0
PID_TELOMERASE_PATHWAY,0,0,0,0,1,1
PID_UPA_UPAR_PATHWAY,0,1,0,0,0,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0,0,0,1,1,1
REACTOME_ABC_TRANSPORTER_DISORDERS,0,0,0,1,1,1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0,0,0,1,1,1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0,0,1,1,1,0
REACTOME_AGGREPHAGY,1,0,1,0,0,0
REACTOME_AMYLOID_FIBER_FORMATION,0,1,1,0,0,0
REACTOME_ANCHORING_FIBRIL_FORMATION,0,1,0,0,0,0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0,0,0,1,0,0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0,0,0,1,1,1
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0,0,0,1,1,1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0,0,0,0,1,1
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0,0,0,1,1,1
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0,0,0,1,1,1
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0,0,0,1,1,1
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0,0,0,1,1,1
REACTOME_APOPTOSIS,0,0,0,1,1,1
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0,0,0,1,1,1
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,1,1,1,0,0,0
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0,0,0,1,1,1
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,0,0,0,0,0,1
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0,0,0,1,1,1
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,0,0,0,1,1,0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,0,0,0,1,0,0
REACTOME_ATTENUATION_PHASE,0,0,0,0,1,1
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,0,0,0,1,1,1
REACTOME_AUTOPHAGY,1,0,1,1,1,1
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,0,0,0,1,1,1
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,0,0,0,0,0,1
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1,1,1,0,0,0
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0,0,0,1,1,1
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,0,0,0,1,1,1
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,0,0,0,1,1,1
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,0,0,0,1,1,1
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX,0,0,0,1,1,1
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0,0,0,1,1,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0,0,0,1,1,1
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,0,0,0,1,1,1
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0,0,1,1,1,0
REACTOME_CELL_CELL_COMMUNICATION,1,1,1,0,0,0
